"","facility","total","vaginal","vbac","cesarean","county","year"
"1322","Mid-Columbia Medical Center",314,230,0,84,"Wasco County",2015
"1323","Home Birth (Planned)",6,5,1,0,"Wasco County",2015
"1324","Total births",6536,4579,193,1764,"Washington County",2015
"1325","Providence St Vincent Medical Center",4212,2765,121,1326,"Washington County",2015
"1326","Tuality Community Hospital - Hillsboro",728,583,19,126,"Washington County",2015
"1327","Kaiser Foundation Hospital- Westside",1392,1037,43,312,"Washington County",2015
"1328","Andaluz Birth Center - Tualatin",49,45,4,0,"Washington County",2015
"1329","Canyon Medical Center",55,53,2,0,"Washington County",2015
"1330","Home Birth (Planned)",87,85,2,0,"Washington County",2015
"1331","Home Birth (Unplanned)",10,8,2,0,"Washington County",2015
"1332","Other",3,3,0,0,"Washington County",2015
"1333","Total births",2,2,0,0,"Wheeler County",2015
"1334","Home Birth (Planned)",2,2,0,0,"Wheeler County",2015
"1335","Total births",1145,869,22,254,"Yamhill County",2015
"1336","Providence Newberg Medical Center",540,415,1,124,"Yamhill County",2015
"1337","Willamette Valley Medical Center",510,362,18,130,"Yamhill County",2015
"1338","Bella Vie Gentle Birth Center",67,64,3,0,"Yamhill County",2015
"1339","Andaluz - Dundee",16,16,0,0,"Yamhill County",2015
"1340","Home Birth (Planned)",11,11,0,0,"Yamhill County",2015
"1341","Home Birth (Unplanned)",1,1,0,0,"Yamhill County",2015
"1342","Total births",45977,32297,1166,12514,"State total",2016
"1343","Total births",136,102,1,33,"Baker County",2016
"1344","St Alphonsus Medical Center - Baker City",126,93,0,33,"Baker County",2016
"1345","Home Birth (Planned)",10,9,1,0,"Baker County",2016
"1346","Total births",1147,865,44,238,"Benton County",2016
"1347","Good Samaritan Regional Medical Center",1084,802,44,238,"Benton County",2016
"1348","Corvallis Birth and Women’s Health Center",30,30,0,0,"Benton County",2016
"1349","Home Birth (Planned)",32,32,0,0,"Benton County",2016
"1350","Other",1,1,0,0,"Benton County",2016
"1351","Total births",4663,3414,122,1127,"Clackamas County",2016
"1352","Kaiser Sunnyside Medical Center",2385,1748,51,586,"Clackamas County",2016
"1353","Legacy Meridian Park Hospital",1121,783,23,315,"Clackamas County",2016
"1354","Providence Milwaukie Hospital",1,1,0,0,"Clackamas County",2016
"1355","Providence Willamette Falls Medical Center",1053,780,47,226,"Clackamas County",2016
"1356","Home Birth (Planned)",92,91,1,0,"Clackamas County",2016
"1357","Home Birth (Unplanned)",7,7,0,0,"Clackamas County",2016
"1358","Other",4,4,0,0,"Clackamas County",2016
"1359","Total births",448,309,0,139,"Clatsop County",2016
"1360","Columbia Memorial Hospital",339,229,0,110,"Clatsop County",2016
"1361","Providence Seaside Hospital",102,73,0,29,"Clatsop County",2016
"1362","Home Birth (Planned)",6,6,0,0,"Clatsop County",2016
"1363","Other",1,1,0,0,"Clatsop County",2016
"1364","Total births",15,15,0,0,"Columbia County",2016
"1365","Home Birth (Planned)",13,13,0,0,"Columbia County",2016
"1366","Home Birth (Unplanned)",1,1,0,0,"Columbia County",2016
"1367","Other",1,1,0,0,"Columbia County",2016
"1368","Total births",681,503,8,170,"Coos County",2016
"1369","Bay Area Hospital",674,496,8,170,"Coos County",2016
"1370","Home Birth (Planned)",4,4,0,0,"Coos County",2016
"1371","Home Birth (Unknown if Planned)",1,1,0,0,"Coos County",2016
"1372","Other",2,2,0,0,"Coos County",2016
"1373","Total births",2,2,0,0,"Crook County",2016
"1374","Home Birth (Planned)",2,2,0,0,"Crook County",2016
"1375","Total births",28,23,0,5,"Curry County",2016
"1376","Curry General Hospital",12,7,0,5,"Curry County",2016
"1377","Bright Eyes Midwifery and Wild Rivers Womens Health",4,4,0,0,"Curry County",2016
"1378","Home Birth (Planned)",12,12,0,0,"Curry County",2016
"1379","Total births",2242,1599,49,594,"Deschutes County",2016
"1380","St Charles Medical Center - Bend",1760,1195,48,517,"Deschutes County",2016
"1381","St Charles Medical Center - Redmond",418,341,0,77,"Deschutes County",2016
"1382","Bend Birth Center",19,19,0,0,"Deschutes County",2016
"1383","Home Birth (Planned)",44,43,1,0,"Deschutes County",2016
"1384","Other",1,1,0,0,"Deschutes County",2016
"1385","Total births",905,671,17,217,"Douglas County",2016
"1386","Mercy Medical Center",882,652,13,217,"Douglas County",2016
"1387","Home Birth (Planned)",22,18,4,0,"Douglas County",2016
"1388","Other",1,1,0,0,"Douglas County",2016
"1389","Total births",43,29,1,13,"Grant County",2016
"1390","Blue Mountain Hospital District",39,26,0,13,"Grant County",2016
"1391","Home Birth (Planned)",3,2,1,0,"Grant County",2016
"1392","Home Birth (Unplanned)",1,1,0,0,"Grant County",2016
"1393","Total births",67,39,0,28,"Harney County",2016
"1394","Harney District Hospital",67,39,0,28,"Harney County",2016
"1395","Total births",411,305,2,104,"Hood River County",2016
"1396","Providence Hood River Memorial Hospital",404,298,2,104,"Hood River County",2016
"1397","Home Birth (Planned)",6,6,0,0,"Hood River County",2016
"1398","Home Birth (Unplanned)",1,1,0,0,"Hood River County",2016
"1399","Total births",2494,1654,33,807,"Jackson County",2016
"1400","Asante Ashland Community Hospital",282,195,15,72,"Jackson County",2016
"1401","Providence Medford Medical Center",438,290,1,147,"Jackson County",2016
"1402","Asante Rogue Valley Medical Center",1675,1074,13,588,"Jackson County",2016
"1403","Kalista Birth Sanctuary",31,29,2,0,"Jackson County",2016
"1404","Home Birth (Planned)",63,61,2,0,"Jackson County",2016
"1405","Home Birth (Unplanned)",2,2,0,0,"Jackson County",2016
"1406","Other",3,3,0,0,"Jackson County",2016
"1407","Total births",152,107,1,44,"Jefferson County",2016
"1408","St Charles - Madras",148,103,1,44,"Jefferson County",2016
"1409","Home Birth (Planned)",4,4,0,0,"Jefferson County",2016
"1410","Total births",856,677,9,170,"Josephine County",2016
"1411","Asante Three Rivers Medical Center",793,614,9,170,"Josephine County",2016
"1412","Trillium Waterbirth Center - Redwood Clinic",11,11,0,0,"Josephine County",2016
"1413","Rogue Birth Center",4,4,0,0,"Josephine County",2016
"1414","Home Birth (Planned)",32,32,0,0,"Josephine County",2016
"1415","Home Birth (Unplanned)",1,1,0,0,"Josephine County",2016
"1416","Other",15,15,0,0,"Josephine County",2016
"1417","Total births",820,595,10,215,"Klamath County",2016
"1418","Sky Lakes Medical Center",782,562,5,215,"Klamath County",2016
"1419","Baby Catchers and Company",3,3,0,0,"Klamath County",2016
"1420","Klamath Womens Clinic & Birth Center",26,22,4,0,"Klamath County",2016
"1421","Home Birth (Planned)",8,7,1,0,"Klamath County",2016
"1422","Home Birth (Unplanned)",1,1,0,0,"Klamath County",2016
"1423","Total births",56,38,0,18,"Lake County",2016
"1424","Lake District Hospital",56,38,0,18,"Lake County",2016
"1425","Total births",3862,2523,85,1254,"Lane County",2016
"1426","McKenzie-Willamette Medical Center",1032,670,21,341,"Lane County",2016
"1427","Peace Harbor Medical Center",68,46,0,22,"Lane County",2016
"1428","Sacred Heart Medical Center - RiverBend",2563,1609,63,891,"Lane County",2016
"1429","PeaceHealth Medical Group Nurse Midwifery Birth Center",114,114,0,0,"Lane County",2016
"1430","Sacred Waters - A Community Birthing Center",2,2,0,0,"Lane County",2016
"1431","Home Birth (Planned)",73,73,0,0,"Lane County",2016
"1432","Home Birth (Unplanned)",5,5,0,0,"Lane County",2016
"1433","Other",5,4,1,0,"Lane County",2016
"1434","Total births",370,267,3,100,"Lincoln County",2016
"1435","Samaritan North Lincoln Hospital",149,101,0,48,"Lincoln County",2016
"1436","Samaritan Pacific Communities Hospital",213,158,3,52,"Lincoln County",2016
"1437","Home Birth (Planned)",7,7,0,0,"Lincoln County",2016
"1438","Other",1,1,0,0,"Lincoln County",2016
"1439","Total births",949,714,8,227,"Linn County",2016
"1440","Samaritan Albany General Hospital",541,387,1,153,"Linn County",2016
"1441","Samaritan Lebanon Community Hospital",316,242,0,74,"Linn County",2016
"1442","Growing Family Birth Center",40,37,3,0,"Linn County",2016
"1443","Home Birth (Planned)",50,46,4,0,"Linn County",2016
"1444","Other",2,2,0,0,"Linn County",2016
"1445","Total births",448,320,4,124,"Malheur County",2016
"1446","St Alphonsus Medical Center - Ontario",445,318,3,124,"Malheur County",2016
"1447","Home Birth (Planned)",2,1,1,0,"Malheur County",2016
"1448","Other",1,1,0,0,"Malheur County",2016
"1449","Total births",5198,3774,91,1333,"Marion County",2016
"1450","Salem Hospital",3516,2462,58,996,"Marion County",2016
"1451","Santiam Memorial Hospital",86,60,0,26,"Marion County",2016
"1452","Silverton Hospital",1467,1126,30,311,"Marion County",2016
"1453","Aurora Birth Center",41,40,1,0,"Marion County",2016
"1454","Home Birth (Planned)",70,69,1,0,"Marion County",2016
"1455","Home Birth (Unplanned)",10,10,0,0,"Marion County",2016
"1456","Other",8,7,1,0,"Marion County",2016
"1457","Total births",2,2,0,0,"Morrow County",2016
"1458","Home Birth (Planned)",2,2,0,0,"Morrow County",2016
"1459","Total births",10953,7342,436,3175,"Multnomah County",2016
"1460","Adventist Medical Center",936,646,16,274,"Multnomah County",2016
"1461","Legacy Emanuel Medical Center",2091,1260,74,757,"Multnomah County",2016
"1462","Legacy Good Samaritan Medical Center",1138,795,16,327,"Multnomah County",2016
"1463","Legacy Mount Hood Medical Center",934,689,33,212,"Multnomah County",2016
"1464","OHSU Hospitals and Clinics",2532,1558,174,800,"Multnomah County",2016
"1465","Providence Portland Medical Center",2834,1919,110,805,"Multnomah County",2016
"1466","Alma Midwifery Services",72,71,1,0,"Multnomah County",2016
"1467","Andaluz Birth Center - Portland",125,119,6,0,"Multnomah County",2016
"1468","Home Birth (Planned)",262,258,4,0,"Multnomah County",2016
"1469","Home Birth (Unplanned)",18,18,0,0,"Multnomah County",2016
"1470","Home Birth (Unknown if Planned)",2,1,1,0,"Multnomah County",2016
"1471","Other",9,8,1,0,"Multnomah County",2016
"1472","Total births",13,12,1,0,"Polk County",2016
"1473","Home Birth (Planned)",12,11,1,0,"Polk County",2016
"1474","Other",1,1,0,0,"Polk County",2016
"1475","Total births",1,1,0,0,"Sherman County",2016
"1476","Home Birth (Planned)",1,1,0,0,"Sherman County",2016
"1477","Total births",191,136,0,55,"Tillamook County",2016
"1478","Tillamook Regional Medical Center",183,128,0,55,"Tillamook County",2016
"1479","Home Birth (Planned)",8,8,0,0,"Tillamook County",2016
"1480","Total births",731,498,4,229,"Umatilla County",2016
"1481","Good Shepherd Medical Center",413,277,0,136,"Umatilla County",2016
"1482","St Anthony Hospital",306,211,2,93,"Umatilla County",2016
"1483","Home Birth (Planned)",10,8,2,0,"Umatilla County",2016
"1484","Home Birth (Unknown if Planned)",1,1,0,0,"Umatilla County",2016
"1485","Other",1,1,0,0,"Umatilla County",2016
"1486","Total births",285,187,1,97,"Union County",2016
"1487","Grande Ronde Hospital",272,175,0,97,"Union County",2016
"1488","Home Birth (Planned)",13,12,1,0,"Union County",2016
"1489","Total births",55,33,0,22,"Wallowa County",2016
"1490","Wallowa Memorial Hospital",55,33,0,22,"Wallowa County",2016
"1491","Total births",280,204,1,75,"Wasco County",2016
"1492","Mid-Columbia Medical Center",275,199,1,75,"Wasco County",2016
"1493","Home Birth (Planned)",5,5,0,0,"Wasco County",2016
"1494","Total births",6339,4458,218,1663,"Washington County",2016
"1495","Providence St Vincent Medical Center",4010,2626,158,1226,"Washington County",2016
"1496","Tuality Community Hospital - Hillsboro",706,545,21,140,"Washington County",2016
"1497","Kaiser Foundation Hospital- Westside",1446,1115,34,297,"Washington County",2016
"1498","Andaluz Birth Center - Tualatin",40,38,2,0,"Washington County",2016
"1499","Canyon Medical Center",52,51,1,0,"Washington County",2016
"1500","Home Birth (Planned)",72,70,2,0,"Washington County",2016
"1501","Home Birth (Unplanned)",9,9,0,0,"Washington County",2016
"1502","Other",4,4,0,0,"Washington County",2016
"1503","Total births",1133,878,17,238,"Yamhill County",2016
"1504","Providence Newberg Medical Center",527,409,6,112,"Yamhill County",2016
"1505","Willamette Valley Medical Center",510,374,10,126,"Yamhill County",2016
"1506","Bella Vie Gentle Birth Center",60,59,1,0,"Yamhill County",2016
"1507","Andaluz - Dundee",21,21,0,0,"Yamhill County",2016
"1508","Home Birth (Planned)",14,14,0,0,"Yamhill County",2016
"1509","Other",1,1,0,0,"Yamhill County",2016
"1510","Total births",44160,30773,993,12394,"State total",2017
"1511","Total births",129,105,0,24,"Baker County",2017
"1512","St Alphonsus Medical Center - Baker City",123,99,0,24,"Baker County",2017
"1513","Home Birth (Planned)",5,5,0,0,"Baker County",2017
"1514","Other",1,1,0,0,"Baker County",2017
"1515","Total births",1107,822,33,252,"Benton County",2017
"1516","Good Samaritan Regional Medical Center",992,708,32,252,"Benton County",2017
"1517","Corvallis Birth and Women’s Health Center",92,92,0,0,"Benton County",2017
"1518","Home Birth (Planned)",22,21,1,0,"Benton County",2017
"1519","Home Birth (Unplanned)",1,1,0,0,"Benton County",2017
"1520","Total births",4357,3140,103,1114,"Clackamas County",2017
"1521","Kaiser Sunnyside Medical Center",2301,1666,54,581,"Clackamas County",2017
"1522","Legacy Meridian Park Hospital",992,668,16,308,"Clackamas County",2017
"1523","Providence Willamette Falls Medical Center",963,707,31,225,"Clackamas County",2017
"1524","Home Birth (Planned)",98,96,2,0,"Clackamas County",2017
"1525","Home Birth (Unplanned)",2,2,0,0,"Clackamas County",2017
"1526","Other",1,1,0,0,"Clackamas County",2017
"1527","Total births",401,300,1,100,"Clatsop County",2017
"1528","Columbia Memorial Hospital",286,221,1,64,"Clatsop County",2017
"1529","Providence Seaside Hospital",104,68,0,36,"Clatsop County",2017
"1530","Home Birth (Planned)",11,11,0,0,"Clatsop County",2017
"1531","Total births",14,14,0,0,"Columbia County",2017
"1532","Home Birth (Planned)",14,14,0,0,"Columbia County",2017
"1533","Total births",678,475,13,190,"Coos County",2017
"1534","Bay Area Hospital",670,468,12,190,"Coos County",2017
"1535","Home Birth (Planned)",4,4,0,0,"Coos County",2017
"1536","Home Birth (Unplanned)",2,2,0,0,"Coos County",2017
"1537","Other",2,1,1,0,"Coos County",2017
"1538","Total births",1,1,0,0,"Crook County",2017
"1539","Home Birth (Planned)",1,1,0,0,"Crook County",2017
"1540","Total births",7,7,0,0,"Curry County",2017
"1541","Home Birth (Planned)",6,6,0,0,"Curry County",2017
"1542","Other",1,1,0,0,"Curry County",2017
"1543","Total births",2283,1625,45,613,"Deschutes County",2017
"1544","St Charles Medical Center - Bend",1695,1134,41,520,"Deschutes County",2017
"1545","St Charles Medical Center - Redmond",510,417,0,93,"Deschutes County",2017
"1546","Bend Birth Center",13,13,0,0,"Deschutes County",2017
"1547","Home Birth (Planned)",60,57,3,0,"Deschutes County",2017
"1548","Home Birth (Unplanned)",4,3,1,0,"Deschutes County",2017
"1549","Other",1,1,0,0,"Deschutes County",2017
"1550","Total births",895,682,23,190,"Douglas County",2017
"1551","Mercy Medical Center",872,660,22,190,"Douglas County",2017
"1552","Clinic/Doctor’s Office",1,1,0,0,"Douglas County",2017
"1553","Home Birth (Planned)",20,19,1,0,"Douglas County",2017
"1554","Home Birth (Unplanned)",2,2,0,0,"Douglas County",2017
"1555","Total births",1,1,0,0,"Gilliam County",2017
"1556","Home Birth (Planned)",1,1,0,0,"Gilliam County",2017
"1557","Total births",47,35,0,12,"Grant County",2017
"1558","Blue Mountain Hospital District",46,34,0,12,"Grant County",2017
"1559","Home Birth (Planned)",1,1,0,0,"Grant County",2017
"1560","Total births",51,35,0,16,"Harney County",2017
"1561","Harney District Hospital",51,35,0,16,"Harney County",2017
"1562","Total births",458,333,1,124,"Hood River County",2017
"1563","Providence Hood River Memorial Hospital",450,325,1,124,"Hood River County",2017
"1564","Home Birth (Planned)",8,8,0,0,"Hood River County",2017
"1565","Total births",2438,1606,23,809,"Jackson County",2017
"1566","Asante Ashland Community Hospital",271,206,9,56,"Jackson County",2017
"1567","Providence Medford Medical Center",480,339,2,139,"Jackson County",2017
"1568","Asante Rogue Valley Medical Center",1594,970,10,614,"Jackson County",2017
"1569","Kalista Birth Sanctuary",27,27,0,0,"Jackson County",2017
"1570","Home Birth (Planned)",60,58,2,0,"Jackson County",2017
"1571","Home Birth (Unplanned)",4,4,0,0,"Jackson County",2017
"1572","Other",2,2,0,0,"Jackson County",2017
"1573","Total births",128,96,1,31,"Jefferson County",2017
"1574","St Charles - Madras",123,91,1,31,"Jefferson County",2017
"1575","Home Birth (Planned)",3,3,0,0,"Jefferson County",2017
"1576","Home Birth (Unplanned)",2,2,0,0,"Jefferson County",2017
"1577","Total births",843,657,2,184,"Josephine County",2017
"1578","Asante Three Rivers Medical Center",794,608,2,184,"Josephine County",2017
"1579","Rogue Birth Center",19,19,0,0,"Josephine County",2017
"1580","Home Birth (Planned)",25,25,0,0,"Josephine County",2017
"1581","Home Birth (Unplanned)",5,5,0,0,"Josephine County",2017
"1582","Total births",812,624,5,183,"Klamath County",2017
"1583","Sky Lakes Medical Center",770,585,2,183,"Klamath County",2017
"1584","Klamath Womens Clinic & Birth Center",31,29,2,0,"Klamath County",2017
"1585","Home Birth (Planned)",10,9,1,0,"Klamath County",2017
"1586","Other",1,1,0,0,"Klamath County",2017
"1587","Total births",61,43,1,17,"Lake County",2017
"1588","Lake District Hospital",61,43,1,17,"Lake County",2017
"1589","Total births",3738,2395,65,1278,"Lane County",2017
"1590","McKenzie-Willamette Medical Center",974,624,12,338,"Lane County",2017
"1591","Peace Harbor Medical Center",71,56,0,15,"Lane County",2017
"1592","Sacred Heart Medical Center - RiverBend",2535,1559,51,925,"Lane County",2017
"1593","PeaceHealth Medical Group Nurse Midwifery Birth Center",80,80,0,0,"Lane County",2017
"1594","Home Birth (Planned)",65,63,2,0,"Lane County",2017
"1595","Home Birth (Unplanned)",9,9,0,0,"Lane County",2017
"1596","Home Birth (Unknown if Planned)",2,2,0,0,"Lane County",2017
"1597","Other",2,2,0,0,"Lane County",2017
"1598","Total births",315,233,0,82,"Lincoln County",2017
"1599","Samaritan North Lincoln Hospital",146,105,0,41,"Lincoln County",2017
"1600","Samaritan Pacific Communities Hospital",164,123,0,41,"Lincoln County",2017
"1601","Home Birth (Planned)",5,5,0,0,"Lincoln County",2017
"1602","Total births",895,635,5,255,"Linn County",2017
"1603","Good Samaritan Regional Medical Center",1,1,0,0,"Linn County",2017
"1604","Samaritan Albany General Hospital",536,349,1,186,"Linn County",2017
"1605","Samaritan Lebanon Community Hospital",283,212,2,69,"Linn County",2017
"1606","Growing Family Birth Center",23,22,1,0,"Linn County",2017
"1607","Home Birth (Planned)",49,48,1,0,"Linn County",2017
"1608","Home Birth (Unplanned)",1,1,0,0,"Linn County",2017
"1609","Other",2,2,0,0,"Linn County",2017
"1610","Total births",456,316,4,136,"Malheur County",2017
"1611","St Alphonsus Medical Center - Ontario",454,315,3,136,"Malheur County",2017
"1612","Home Birth (Planned)",1,1,0,0,"Malheur County",2017
"1613","Other",1,0,1,0,"Malheur County",2017
"1614","Total births",5054,3563,98,1393,"Marion County",2017
"1615","Salem Hospital",3485,2365,56,1064,"Marion County",2017
"1616","Santiam Memorial Hospital",122,100,0,22,"Marion County",2017
"1617","Silverton Hospital",1346,1000,39,307,"Marion County",2017
"1618","Aurora Birth Center",30,30,0,0,"Marion County",2017
"1619","Home Birth (Planned)",59,56,3,0,"Marion County",2017
"1620","Home Birth (Unplanned)",9,9,0,0,"Marion County",2017
"1621","Other",3,3,0,0,"Marion County",2017
"1622","Total births",1,1,0,0,"Morrow County",2017
"1623","Home Birth (Unknown if Planned)",1,1,0,0,"Morrow County",2017
"1624","Total births",10217,6812,387,3018,"Multnomah County",2017
"1625","Adventist Medical Center",789,532,11,246,"Multnomah County",2017
"1626","Legacy Emanuel Medical Center",1902,1109,95,698,"Multnomah County",2017
"1627","Legacy Good Samaritan Medical Center",995,666,10,319,"Multnomah County",2017
"1628","Legacy Mount Hood Medical Center",900,679,30,191,"Multnomah County",2017
"1629","OHSU Hospitals and Clinics",2331,1446,132,753,"Multnomah County",2017
"1630","Providence Portland Medical Center",2888,1979,98,811,"Multnomah County",2017
"1631","Alma Midwifery Services",67,64,3,0,"Multnomah County",2017
"1632","Andaluz Birth Center - Portland",73,69,4,0,"Multnomah County",2017
"1633","Women’s Healthcare Associates",47,47,0,0,"Multnomah County",2017
"1634","Home Birth (Planned)",204,201,3,0,"Multnomah County",2017
"1635","Home Birth (Unplanned)",14,14,0,0,"Multnomah County",2017
"1636","Other",7,6,1,0,"Multnomah County",2017
"1637","Total births",18,18,0,0,"Polk County",2017
"1638","Home Birth (Planned)",15,15,0,0,"Polk County",2017
"1639","Home Birth (Unplanned)",3,3,0,0,"Polk County",2017
"1640","Total births",1,1,0,0,"Sherman County",2017
"1641","Home Birth (Planned)",1,1,0,0,"Sherman County",2017
"1642","Total births",158,107,0,51,"Tillamook County",2017
"1643","Tillamook Regional Medical Center",151,100,0,51,"Tillamook County",2017
"1644","Home Birth (Planned)",7,7,0,0,"Tillamook County",2017
"1645","Total births",777,539,2,236,"Umatilla County",2017
"1646","Good Shepherd Medical Center",415,296,2,117,"Umatilla County",2017
"1647","St Anthony Hospital",358,239,0,119,"Umatilla County",2017
"1648","Home Birth (Planned)",3,3,0,0,"Umatilla County",2017
"1649","Other",1,1,0,0,"Umatilla County",2017
"1650","Total births",262,159,1,102,"Union County",2017
"1651","Grande Ronde Hospital",254,151,1,102,"Union County",2017
"1652","Home Birth (Planned)",7,7,0,0,"Union County",2017
"1653","Home Birth (Unknown if Planned)",1,1,0,0,"Union County",2017
"1654","Total births",50,30,0,20,"Wallowa County",2017
"1655","Wallowa Memorial Hospital",49,29,0,20,"Wallowa County",2017
"1656","Home Birth (Planned)",1,1,0,0,"Wallowa County",2017
"1657","Total births",286,213,0,73,"Wasco County",2017
"1658","Mid-Columbia Medical Center",280,207,0,73,"Wasco County",2017
"1659","Home Birth (Planned)",5,5,0,0,"Wasco County",2017
"1660","Other",1,1,0,0,"Wasco County",2017
"1661","Total births",6118,4308,162,1648,"Washington County",2017
"1662","Providence St Vincent Medical Center",3812,2539,104,1169,"Washington County",2017
"1663","Tuality Community Hospital - Hillsboro",647,497,20,130,"Washington County",2017
"1664","Kaiser Foundation Hospital- Westside",1528,1148,31,349,"Washington County",2017
"1665","Andaluz Birth Center - Tualatin",7,7,0,0,"Washington County",2017
"1666","Canyon Medical Center",55,51,4,0,"Washington County",2017
"1667","Home Birth (Planned)",58,55,3,0,"Washington County",2017
"1668","Home Birth (Unplanned)",8,8,0,0,"Washington County",2017
"1669","Other",3,3,0,0,"Washington County",2017
"1670","Total births",2,2,0,0,"Wheeler County",2017
"1671","Home Birth (Planned)",2,2,0,0,"Wheeler County",2017
"1672","Total births",1101,840,18,243,"Yamhill County",2017
"1673","Providence Newberg Medical Center",564,416,9,139,"Yamhill County",2017
"1674","Willamette Valley Medical Center",451,342,5,104,"Yamhill County",2017
"1675","Bella Vie Gentle Birth Center",48,46,2,0,"Yamhill County",2017
"1676","Andaluz - Dundee",25,23,2,0,"Yamhill County",2017
"1677","Home Birth (Planned)",10,10,0,0,"Yamhill County",2017
"1678","Home Birth (Unplanned)",3,3,0,0,"Yamhill County",2017
"1679","Total births",42705,29655,1054,11996,"State total",2018
"1680","Total births",131,95,1,35,"Baker County",2018
"1681","St Alphonsus Medical Center - Baker City",126,90,1,35,"Baker County",2018
"1682","Home Birth (Planned)",5,5,0,0,"Baker County",2018
"1683","Total births",1045,804,39,202,"Benton County",2018
"1684","Good Samaritan Regional Medical Center",940,705,33,202,"Benton County",2018
"1685","Corvallis Birth and Women’s Health Center",83,82,1,0,"Benton County",2018
"1686","Home Birth (Planned)",21,16,5,0,"Benton County",2018
"1687","Other",1,1,0,0,"Benton County",2018
"1688","Total births",4189,2932,103,1154,"Clackamas County",2018
"1689","Kaiser Sunnyside Medical Center",2263,1564,63,636,"Clackamas County",2018
"1690","Legacy Meridian Park Hospital",961,680,13,268,"Clackamas County",2018
"1691","Providence Willamette Falls Medical Center",860,585,25,250,"Clackamas County",2018
"1692","Home Birth (Planned)",92,91,1,0,"Clackamas County",2018
"1693","Home Birth (Unplanned)",8,7,1,0,"Clackamas County",2018
"1694","Other",5,5,0,0,"Clackamas County",2018
"1695","Total births",410,299,0,111,"Clatsop County",2018
"1696","Columbia Memorial Hospital",304,220,0,84,"Clatsop County",2018
"1697","Providence Seaside Hospital",95,68,0,27,"Clatsop County",2018
"1698","Home Birth (Planned)",10,10,0,0,"Clatsop County",2018
"1699","Other",1,1,0,0,"Clatsop County",2018
"1700","Total births",12,11,1,0,"Columbia County",2018
"1701","Home Birth (Planned)",11,10,1,0,"Columbia County",2018
"1702","Home Birth (Unplanned)",1,1,0,0,"Columbia County",2018
"1703","Total births",668,486,9,173,"Coos County",2018
"1704","Bay Area Hospital",654,472,9,173,"Coos County",2018
"1705","Coquille Valley Hospital",1,1,0,0,"Coos County",2018
"1706","Home Birth (Planned)",9,9,0,0,"Coos County",2018
"1707","Home Birth (Unplanned)",2,2,0,0,"Coos County",2018
"1708","Other",2,2,0,0,"Coos County",2018
"1709","Total births",5,5,0,0,"Crook County",2018
"1710","St Charles - Prineville",1,1,0,0,"Crook County",2018
"1711","Home Birth (Planned)",3,3,0,0,"Crook County",2018
"1712","Other",1,1,0,0,"Crook County",2018
"1713","Total births",2,2,0,0,"Curry County",2018
"1714","Home Birth (Planned)",2,2,0,0,"Curry County",2018
"1715","Total births",2236,1555,44,637,"Deschutes County",2018
"1716","St Charles - Madras",1,0,0,1,"Deschutes County",2018
"1717","St Charles Medical Center - Bend",1667,1098,40,529,"Deschutes County",2018
"1718","St Charles Medical Center - Redmond",491,384,0,107,"Deschutes County",2018
"1719","Bend Birth Center",14,14,0,0,"Deschutes County",2018
"1720","Home Birth (Planned)",59,55,4,0,"Deschutes County",2018
"1721","Home Birth (Unplanned)",2,2,0,0,"Deschutes County",2018
"1722","Home Birth (Unknown if Planned)",1,1,0,0,"Deschutes County",2018
"1723","Other",1,1,0,0,"Deschutes County",2018
"1724","Total births",883,712,25,146,"Douglas County",2018
"1725","Mercy Medical Center",857,689,22,146,"Douglas County",2018
"1726","Home Birth (Planned)",20,17,3,0,"Douglas County",2018
"1727","Home Birth (Unplanned)",4,4,0,0,"Douglas County",2018
"1728","Other",2,2,0,0,"Douglas County",2018
"1729","Total births",45,36,0,9,"Grant County",2018
"1730","Blue Mountain Hospital District",39,30,0,9,"Grant County",2018
"1731","Home Birth (Planned)",5,5,0,0,"Grant County",2018
"1732","Home Birth (Unplanned)",1,1,0,0,"Grant County",2018
"1733","Total births",39,26,0,13,"Harney County",2018
"1734","Harney District Hospital",37,24,0,13,"Harney County",2018
"1735","Home Birth (Planned)",2,2,0,0,"Harney County",2018
"1736","Total births",436,315,0,121,"Hood River County",2018
"1737","Providence Hood River Memorial Hospital",429,308,0,121,"Hood River County",2018
"1738","Home Birth (Planned)",6,6,0,0,"Hood River County",2018
"1739","Home Birth (Unplanned)",1,1,0,0,"Hood River County",2018
"1740","Total births",2408,1602,32,774,"Jackson County",2018
"1741","Asante Ashland Community Hospital",253,190,10,53,"Jackson County",2018
"1742","Providence Medford Medical Center",476,334,2,140,"Jackson County",2018
"1743","Asante Rogue Valley Medical Center",1606,1009,16,581,"Jackson County",2018
"1744","Kalista Birth Sanctuary",21,20,1,0,"Jackson County",2018
"1745","Home Birth (Planned)",46,43,3,0,"Jackson County",2018
"1746","Home Birth (Unplanned)",3,3,0,0,"Jackson County",2018
"1747","Other",3,3,0,0,"Jackson County",2018
"1748","Total births",152,121,2,29,"Jefferson County",2018
"1749","St Charles - Madras",149,118,2,29,"Jefferson County",2018
"1750","Home Birth (Planned)",2,2,0,0,"Jefferson County",2018
"1751","Home Birth (Unplanned)",1,1,0,0,"Jefferson County",2018
"1752","Total births",821,652,6,163,"Josephine County",2018
