facility,total,vaginal,vbac,cesarean,county,year
Total Births,678,475,13,190,Coos County,2017
Bay Area Hospital,670,468,12,190,Coos County,2017
Home Birth (Planned),4,4,0,0,Coos County,2017
Home Birth (Unplanned),2,2,0,0,Coos County,2017
Other,2,1,1,0,Coos County,2017
Total Births,1,1,0,0,Crook County,2017
Home Birth (Planned),1,1,0,0,Crook County,2017
Total Births,7,7,0,0,Curry County,2017
Home Birth (Planned),6,6,0,0,Curry County,2017
Other,1,1,0,0,Curry County,2017
Total Births,2283,1625,45,613,Deschutes County,2017
St Charles Medical Center - Bend,1695,1134,41,520,Deschutes County,2017
St Charles Medical Center - Redmond,510,417,0,93,Deschutes County,2017
Bend Birth Center,13,13,0,0,Deschutes County,2017
Home Birth (Planned),60,57,3,0,Deschutes County,2017
Home Birth (Unplanned),4,3,1,0,Deschutes County,2017
Other,1,1,0,0,Deschutes County,2017
Total Births,895,682,23,190,Douglas County,2017
Mercy Medical Center,872,660,22,190,Douglas County,2017
Clinic/Doctor's Office,1,1,0,0,Douglas County,2017
Home Birth (Planned),20,19,1,0,Douglas County,2017
Home Birth (Unplanned),2,2,0,0,Douglas County,2017
Total Births,1,1,0,0,Gilliam County,2017
Home Birth (Planned),1,1,0,0,Gilliam County,2017
Total Births,47,35,0,12,Grant County,2017
Blue Mountain Hospital District,46,34,0,12,Grant County,2017
Home Birth (Planned),1,1,0,0,Grant County,2017
Total Births,51,35,0,16,Harney County,2017
Harney District Hospital,51,35,0,16,Harney County,2017
Total Births,458,333,1,124,Hood River County,2017
Providence Hood River Memorial Hospital,450,325,1,124,Hood River County,2017
Home Birth (Planned),8,8,0,0,Hood River County,2017
Total Births,2438,1606,23,809,Jackson County,2017
Asante Ashland Community Hospital,271,206,9,56,Jackson County,2017
Providence Medford Medical Center,480,339,2,139,Jackson County,2017
Asante Rogue Valley Medical Center,1594,970,10,614,Jackson County,2017
Kalista Birth Sanctuary,27,27,0,0,Jackson County,2017
Home Birth (Planned),60,58,2,0,Jackson County,2017
Home Birth (Unplanned),4,4,0,0,Jackson County,2017
Other,2,2,0,0,Jackson County,2017
Total Births,128,96,1,31,Jefferson County,2017
St Charles - Madras,123,91,1,31,Jefferson County,2017
Home Birth (Planned),3,3,0,0,Jefferson County,2017
Home Birth (Unplanned),2,2,0,0,Jefferson County,2017
Total Births,843,657,2,184,Josephine County,2017
Asante Three Rivers Medical Center,794,608,2,184,Josephine County,2017
Rogue Birth Center,19,19,0,0,Josephine County,2017
Home Birth (Planned),25,25,0,0,Josephine County,2017
Home Birth (Unplanned),5,5,0,0,Josephine County,2017
Total Births,812,624,5,183,Klamath County,2017
Sky Lakes Medical Center,770,585,2,183,Klamath County,2017
Klamath Womens Clinic & Birth Center,31,29,2,0,Klamath County,2017
Home Birth (Planned),10,9,1,0,Klamath County,2017
Other,1,1,0,0,Klamath County,2017
Total Births,61,43,1,17,Lake County,2017
Lake District Hospital,61,43,1,17,Lake County,2017
Total Births,3738,2395,65,1278,Lane County,2017
McKenzie-Willamette Medical Center,974,624,12,338,Lane County,2017
Peace Harbor Medical Center,71,56,0,15,Lane County,2017
Sacred Heart Medical Center - RiverBend,2535,1559,51,925,Lane County,2017
PeaceHealth Medical Group Nurse Midwifery Birth Center,80,80,0,0,Lane County,2017
Home Birth (Planned),65,63,2,0,Lane County,2017
Home Birth (Unplanned),9,9,0,0,Lane County,2017
Home Birth (Unknown if Planned),2,2,0,0,Lane County,2017
Other,2,2,0,0,Lane County,2017
Total Births,315,233,0,82,Lincoln County,2017
Samaritan North Lincoln Hospital,146,105,0,41,Lincoln County,2017
Samaritan Pacific Communities Hospital,164,123,0,41,Lincoln County,2017
Home Birth (Planned),5,5,0,0,Lincoln County,2017
Total Births,895,635,5,255,Linn County,2017
Good Samaritan Regional Medical Center,1,1,0,0,Linn County,2017
Samaritan Albany General Hospital,536,349,1,186,Linn County,2017
Samaritan Lebanon Community Hospital,283,212,2,69,Linn County,2017
Growing Family Birth Center,23,22,1,0,Linn County,2017
Home Birth (Planned),49,48,1,0,Linn County,2017
Home Birth (Unplanned),1,1,0,0,Linn County,2017
Other,2,2,0,0,Linn County,2017
Total Births,456,316,4,136,Malheur County,2017
St Alphonsus Medical Center - Ontario,454,315,3,136,Malheur County,2017
Home Birth (Planned),1,1,0,0,Malheur County,2017
Other,1,0,1,0,Malheur County,2017
Total Births,5054,3563,98,1393,Marion County,2017
Salem Hospital,3485,2365,56,1064,Marion County,2017
Santiam Memorial Hospital,122,100,0,22,Marion County,2017
Silverton Hospital,1346,1000,39,307,Marion County,2017
Aurora Birth Center,30,30,0,0,Marion County,2017
Home Birth (Planned),59,56,3,0,Marion County,2017
Home Birth (Unplanned),9,9,0,0,Marion County,2017
Other,3,3,0,0,Marion County,2017
Total Births,1,1,0,0,Morrow County,2017
Home Birth (Unknown if Planned),1,1,0,0,Morrow County,2017
Total Births,10217,6812,387,3018,Multnomah County,2017
Adventist Medical Center,789,532,11,246,Multnomah County,2017
Legacy Emanuel Medical Center,1902,1109,95,698,Multnomah County,2017
Legacy Good Samaritan Medical Center,995,666,10,319,Multnomah County,2017
Legacy Mount Hood Medical Center,900,679,30,191,Multnomah County,2017
OHSU Hospitals and Clinics,2331,1446,132,753,Multnomah County,2017
Providence Portland Medical Center,2888,1979,98,811,Multnomah County,2017
Alma Midwifery Services,67,64,3,0,Multnomah County,2017
Andaluz Birth Center - Portland,73,69,4,0,Multnomah County,2017
Women's Healthcare Associates,47,47,0,0,Multnomah County,2017
Home Birth (Planned),204,201,3,0,Multnomah County,2017
Home Birth (Unplanned),14,14,0,0,Multnomah County,2017
Other,7,6,1,0,Multnomah County,2017
Total Births,18,18,0,0,Polk County,2017
Home Birth (Planned),15,15,0,0,Polk County,2017
Home Birth (Unplanned),3,3,0,0,Polk County,2017
Total Births,1,1,0,0,Sherman County,2017
Home Birth (Planned),1,1,0,0,Sherman County,2017
Total Births,158,107,0,51,Tillamook County,2017
Tillamook Regional Medical Center,151,100,0,51,Tillamook County,2017
Home Birth (Planned),7,7,0,0,Tillamook County,2017
Total Births,777,539,2,236,Umatilla County,2017
Good Shepherd Medical Center,415,296,2,117,Umatilla County,2017
St Anthony Hospital,358,239,0,119,Umatilla County,2017
Home Birth (Planned),3,3,0,0,Umatilla County,2017
Other,1,1,0,0,Umatilla County,2017
Total Births,262,159,1,102,Union County,2017
Grande Ronde Hospital,254,151,1,102,Union County,2017
Home Birth (Planned),7,7,0,0,Union County,2017
Home Birth (Unknown if Planned),1,1,0,0,Union County,2017
Total Births,50,30,0,20,Wallowa County,2017
Wallowa Memorial Hospital,49,29,0,20,Wallowa County,2017
Home Birth (Planned),1,1,0,0,Wallowa County,2017
Total Births,286,213,0,73,Wasco County,2017
Mid-Columbia Medical Center,280,207,0,73,Wasco County,2017
Home Birth (Planned),5,5,0,0,Wasco County,2017
Other,1,1,0,0,Wasco County,2017
Total Births,6118,4308,162,1648,Washington County,2017
Providence St Vincent Medical Center,3812,2539,104,1169,Washington County,2017
Tuality Community Hospital - Hillsboro,647,497,20,130,Washington County,2017
Kaiser Foundation Hospital- Westside,1528,1148,31,349,Washington County,2017
Andaluz Birth Center - Tualatin,7,7,0,0,Washington County,2017
Canyon Medical Center,55,51,4,0,Washington County,2017
Home Birth (Planned),58,55,3,0,Washington County,2017
Home Birth (Unplanned),8,8,0,0,Washington County,2017
Other,3,3,0,0,Washington County,2017
Total Births,2,2,0,0,Wheeler County,2017
Home Birth (Planned),2,2,0,0,Wheeler County,2017
Total Births,1101,840,18,243,Yamhill County,2017
Providence Newberg Medical Center,564,416,9,139,Yamhill County,2017
Willamette Valley Medical Center,451,342,5,104,Yamhill County,2017
Bella Vie Gentle Birth Center,48,46,2,0,Yamhill County,2017
Andaluz - Dundee,25,23,2,0,Yamhill County,2017
Home Birth (Planned),10,10,0,0,Yamhill County,2017
Home Birth (Unplanned),3,3,0,0,Yamhill County,2017
Total Births,42705,29655,1054,11996,State Total,2018
Total Births,131,95,1,35,Baker County,2018
St Alphonsus Medical Center - Baker City,126,90,1,35,Baker County,2018
Home Birth (Planned),5,5,0,0,Baker County,2018
Total Births,1045,804,39,202,Benton County,2018
Good Samaritan Regional Medical Center,940,705,33,202,Benton County,2018
Corvallis Birth and Women's Health Center,83,82,1,0,Benton County,2018
Home Birth (Planned),21,16,5,0,Benton County,2018
Other,1,1,0,0,Benton County,2018
Total Births,4189,2932,103,1154,Clackamas County,2018
Kaiser Sunnyside Medical Center,2263,1564,63,636,Clackamas County,2018
Legacy Meridian Park Hospital,961,680,13,268,Clackamas County,2018
Providence Willamette Falls Medical Center,860,585,25,250,Clackamas County,2018
Home Birth (Planned),92,91,1,0,Clackamas County,2018
Home Birth (Unplanned),8,7,1,0,Clackamas County,2018
Other,5,5,0,0,Clackamas County,2018
Total Births,410,299,0,111,Clatsop County,2018
Columbia Memorial Hospital,304,220,0,84,Clatsop County,2018
Providence Seaside Hospital,95,68,0,27,Clatsop County,2018
Home Birth (Planned),10,10,0,0,Clatsop County,2018
Other,1,1,0,0,Clatsop County,2018
Total Births,12,11,1,0,Columbia County,2018
Home Birth (Planned),11,10,1,0,Columbia County,2018
Home Birth (Unplanned),1,1,0,0,Columbia County,2018
Total Births,668,486,9,173,Coos County,2018
Bay Area Hospital,654,472,9,173,Coos County,2018
Coquille Valley Hospital,1,1,0,0,Coos County,2018
Home Birth (Planned),9,9,0,0,Coos County,2018
Home Birth (Unplanned),2,2,0,0,Coos County,2018
Other,2,2,0,0,Coos County,2018
Total Births,5,5,0,0,Crook County,2018
St Charles - Prineville,1,1,0,0,Crook County,2018
Home Birth (Planned),3,3,0,0,Crook County,2018
Other,1,1,0,0,Crook County,2018
Total Births,2,2,0,0,Curry County,2018
Home Birth (Planned),2,2,0,0,Curry County,2018
Total Births,2236,1555,44,637,Deschutes County,2018
St Charles - Madras,1,0,0,1,Deschutes County,2018
St Charles Medical Center - Bend,1667,1098,40,529,Deschutes County,2018
St Charles Medical Center - Redmond,491,384,0,107,Deschutes County,2018
Bend Birth Center,14,14,0,0,Deschutes County,2018
Home Birth (Planned),59,55,4,0,Deschutes County,2018
Home Birth (Unplanned),2,2,0,0,Deschutes County,2018
Home Birth (Unknown if Planned),1,1,0,0,Deschutes County,2018
Other,1,1,0,0,Deschutes County,2018
Total Births,883,712,25,146,Douglas County,2018
Mercy Medical Center,857,689,22,146,Douglas County,2018
Home Birth (Planned),20,17,3,0,Douglas County,2018
Home Birth (Unplanned),4,4,0,0,Douglas County,2018
Other,2,2,0,0,Douglas County,2018
Total Births,45,36,0,9,Grant County,2018
Blue Mountain Hospital District,39,30,0,9,Grant County,2018
Home Birth (Planned),5,5,0,0,Grant County,2018
Home Birth (Unplanned),1,1,0,0,Grant County,2018
Total Births,39,26,0,13,Harney County,2018
Harney District Hospital,37,24,0,13,Harney County,2018
Home Birth (Planned),2,2,0,0,Harney County,2018
Total Births,436,315,0,121,Hood River County,2018
Providence Hood River Memorial Hospital,429,308,0,121,Hood River County,2018
Home Birth (Planned),6,6,0,0,Hood River County,2018
Home Birth (Unplanned),1,1,0,0,Hood River County,2018
Total Births,2408,1602,32,774,Jackson County,2018
Asante Ashland Community Hospital,253,190,10,53,Jackson County,2018
Providence Medford Medical Center,476,334,2,140,Jackson County,2018
Asante Rogue Valley Medical Center,1606,1009,16,581,Jackson County,2018
Kalista Birth Sanctuary,21,20,1,0,Jackson County,2018
Home Birth (Planned),46,43,3,0,Jackson County,2018
Home Birth (Unplanned),3,3,0,0,Jackson County,2018
Other,3,3,0,0,Jackson County,2018
Total Births,152,121,2,29,Jefferson County,2018
St Charles - Madras,149,118,2,29,Jefferson County,2018
Home Birth (Planned),2,2,0,0,Jefferson County,2018
Home Birth (Unplanned),1,1,0,0,Jefferson County,2018
Total Births,821,652,6,163,Josephine County,2018
Asante Three Rivers Medical Center,757,589,5,163,Josephine County,2018
Rogue Birth Center,37,36,1,0,Josephine County,2018
Home Birth (Planned),23,23,0,0,Josephine County,2018
Home Birth (Unplanned),2,2,0,0,Josephine County,2018
Other,2,2,0,0,Josephine County,2018
Total Births,728,533,9,186,Klamath County,2018
Sky Lakes Medical Center,705,511,8,186,Klamath County,2018
Klamath Womens Clinic & Birth Center,15,14,1,0,Klamath County,2018
Home Birth (Planned),8,8,0,0,Klamath County,2018
Total Births,62,43,0,19,Lake County,2018
Lake District Hospital,61,42,0,19,Lake County,2018
Home Birth (Unplanned),1,1,0,0,Lake County,2018
Total Births,3591,2295,64,1232,Lane County,2018
McKenzie-Willamette Medical Center,898,542,15,341,Lane County,2018
Peace Harbor Medical Center,54,38,0,16,Lane County,2018
Sacred Heart Medical Center - RiverBend,2498,1575,48,875,Lane County,2018
PeaceHealth Medical Group Nurse Midwifery Birth Center,70,70,0,0,Lane County,2018
Home Birth (Planned),59,58,1,0,Lane County,2018
Home Birth (Unplanned),10,10,0,0,Lane County,2018
Home Birth (Unknown if Planned),1,1,0,0,Lane County,2018
Other,1,1,0,0,Lane County,2018
Total Births,289,210,2,77,Lincoln County,2018
Samaritan North Lincoln Hospital,101,70,1,30,Lincoln County,2018
Samaritan Pacific Communities Hospital,182,134,1,47,Lincoln County,2018
Home Birth (Planned),5,5,0,0,Lincoln County,2018
Other,1,1,0,0,Lincoln County,2018
Total Births,945,688,8,249,Linn County,2018
Samaritan Albany General Hospital,560,384,0,176,Linn County,2018
Samaritan Lebanon Community Hospital,306,232,1,73,Linn County,2018
Growing Family Birth Center,33,30,3,0,Linn County,2018
Home Birth (Planned),41,37,4,0,Linn County,2018
Home Birth (Unplanned),2,2,0,0,Linn County,2018
Home Birth (Unknown if Planned),1,1,0,0,Linn County,2018
Other,2,2,0,0,Linn County,2018
Total Births,416,299,0,117,Malheur County,2018
St Alphonsus Medical Center - Ontario,413,296,0,117,Malheur County,2018
Home Birth (Planned),2,2,0,0,Malheur County,2018
Other,1,1,0,0,Malheur County,2018
Total Births,4848,3419,103,1326,Marion County,2018
Salem Hospital,3386,2312,67,1007,Marion County,2018
Santiam Memorial Hospital,124,96,0,28,Marion County,2018
Silverton Hospital,1217,896,30,291,Marion County,2018
Aurora Birth Center,40,38,2,0,Marion County,2018
Home Birth (Planned),68,66,2,0,Marion County,2018
Home Birth (Unplanned),9,8,1,0,Marion County,2018
Other,4,3,1,0,Marion County,2018
Total Births,10059,6722,390,2947,Multnomah County,2018
Adventist Medical Center,777,531,14,232,Multnomah County,2018
Legacy Emanuel Medical Center,1826,1098,80,648,Multnomah County,2018
Legacy Good Samaritan Medical Center,984,674,11,299,Multnomah County,2018
Legacy Mount Hood Medical Center,915,652,42,221,Multnomah County,2018
OHSU Hospitals and Clinics,2291,1450,130,711,Multnomah County,2018
Providence Portland Medical Center,2882,1943,103,836,Multnomah County,2018
Alma Midwifery Services,43,38,5,0,Multnomah County,2018
Andaluz Birth Center - Portland,112,110,2,0,Multnomah County,2018
Women's Healthcare Associates,71,71,0,0,Multnomah County,2018
Home Birth (Planned),145,142,3,0,Multnomah County,2018
Home Birth (Unplanned),9,9,0,0,Multnomah County,2018
Home Birth (Unknown if Planned),1,1,0,0,Multnomah County,2018
Other,3,3,0,0,Multnomah County,2018
Total Births,17,16,1,0,Polk County,2018
Home Birth (Planned),16,15,1,0,Polk County,2018
Home Birth (Unplanned),1,1,0,0,Polk County,2018
Total Births,179,116,1,62,Tillamook County,2018
Tillamook Regional Medical Center,176,113,1,62,Tillamook County,2018
Home Birth (Planned),3,3,0,0,Tillamook County,2018
Total Births,686,480,0,206,Umatilla County,2018
Good Shepherd Medical Center,383,285,0,98,Umatilla County,2018
St Anthony Hospital,297,189,0,108,Umatilla County,2018
Home Birth (Planned),3,3,0,0,Umatilla County,2018
Home Birth (Unplanned),1,1,0,0,Umatilla County,2018
Other,2,2,0,0,Umatilla County,2018
Total Births,246,162,0,84,Union County,2018
Grande Ronde Hospital,233,149,0,84,Union County,2018
Home Birth (Planned),13,13,0,0,Union County,2018
Total Births,53,35,1,17,Wallowa County,2018
Wallowa Memorial Hospital,48,31,0,17,Wallowa County,2018
Home Birth (Planned),5,4,1,0,Wallowa County,2018
Total Births,264,187,1,76,Wasco County,2018
Mid-Columbia Medical Center,257,181,0,76,Wasco County,2018
Home Birth (Planned),7,6,1,0,Wasco County,2018
Total Births,5830,4037,192,1601,Washington County,2018
Providence St Vincent Medical Center,3618,2387,124,1107,Washington County,2018
Tuality Community Hospital - Hillsboro,577,424,14,139,Washington County,2018
Kaiser Foundation Hospital- Westside,1527,1125,47,355,Washington County,2018
Canyon Medical Center,36,33,3,0,Washington County,2018
Home Birth (Planned),64,60,4,0,Washington County,2018
Home Birth (Unplanned),3,3,0,0,Washington County,2018
Other,5,5,0,0,Washington County,2018
Total Births,1,1,0,0,Wheeler County,2018
Home Birth (Planned),1,1,0,0,Wheeler County,2018
Total Births,1009,759,20,230,Yamhill County,2018
Providence Newberg Medical Center,494,363,6,125,Yamhill County,2018
Willamette Valley Medical Center,427,310,12,105,Yamhill County,2018
Andaluz Birth Center - Portland,1,1,0,0,Yamhill County,2018
Bella Vie Gentle Birth Center,43,42,1,0,Yamhill County,2018
Andaluz - Dundee,20,19,1,0,Yamhill County,2018
Home Birth (Planned),22,22,0,0,Yamhill County,2018
Home Birth (Unplanned),1,1,0,0,Yamhill County,2018
Other,1,1,0,0,Yamhill County,2018
Total Births,42292,29437,1044,11811,State Total,2019
Total Births,138,102,2,34,Baker County,2019
St Alphonsus Medical Center - Baker City,134,99,1,34,Baker County,2019
Home Birth (Planned),3,2,1,0,Baker County,2019
Home Birth (Unplanned),1,1,0,0,Baker County,2019
Total Births,1062,789,37,236,Benton County,2019
Good Samaritan Regional Medical Center,967,699,32,236,Benton County,2019
Corvallis Birth and Women's Health Center LLC,77,75,2,0,Benton County,2019
Home Birth (Planned),16,13,3,0,Benton County,2019
Home Birth (Unplanned),1,1,0,0,Benton County,2019
Other,1,1,0,0,Benton County,2019
Total Births,4172,2932,109,1131,Clackamas County,2019
Kaiser Sunnyside Medical Center,2280,1587,66,627,Clackamas County,2019
Legacy Meridian Park Medical Center,987,687,19,281,Clackamas County,2019
Providence Willamette Falls Medical Center,816,569,24,223,Clackamas County,2019
Home Birth (Planned),86,86,0,0,Clackamas County,2019
Home Birth (Unplanned),3,3,0,0,Clackamas County,2019
Total Births,402,306,1,95,Clatsop County,2019
Columbia Memorial Hospital,297,220,1,76,Clatsop County,2019
Providence Seaside Hospital,92,73,0,19,Clatsop County,2019
Home Birth (Planned),12,12,0,0,Clatsop County,2019
Home Birth (Unplanned),1,1,0,0,Clatsop County,2019
Total Births,12,12,0,0,Columbia County,2019
Home Birth (Planned),11,11,0,0,Columbia County,2019
Home Birth (Unplanned),1,1,0,0,Columbia County,2019
Total Births,641,459,16,166,Coos County,2019
Bay Area Hospital,632,450,16,166,Coos County,2019
Home Birth (Planned),6,6,0,0,Coos County,2019
Home Birth (Unplanned),1,1,0,0,Coos County,2019
Other,2,2,0,0,Coos County,2019
Total Births,8,8,0,0,Crook County,2019
St Charles Prineville,2,2,0,0,Crook County,2019
Home Birth (Planned),6,6,0,0,Crook County,2019
Total Births,7,7,0,0,Curry County,2019
Curry General Hospital,1,1,0,0,Curry County,2019
Home Birth (Planned),4,4,0,0,Curry County,2019
Home Birth (Unplanned),2,2,0,0,Curry County,2019
Total Births,2246,1517,54,675,Deschutes County,2019
St Charles Medical Center - Bend,1955,1279,52,624,Deschutes County,2019
St Charles Medical Center - Redmond,223,172,0,51,Deschutes County,2019
Bend Birth Center,7,7,0,0,Deschutes County,2019
Home Birth (Planned),57,55,2,0,Deschutes County,2019
Home Birth (Unplanned),3,3,0,0,Deschutes County,2019
Other,1,1,0,0,Deschutes County,2019
Total Births,868,687,29,152,Douglas County,2019
"Mercy Medical Center, Inc",848,669,27,152,Douglas County,2019
Home Birth (Planned),14,13,1,0,Douglas County,2019
Home Birth (Unplanned),4,3,1,0,Douglas County,2019
Other,2,2,0,0,Douglas County,2019
Total Births,2,2,0,0,Gilliam County,2019
Home Birth (Planned),2,2,0,0,Gilliam County,2019
Total Births,44,32,0,12,Grant County,2019
Blue Mountain Hospital,42,30,0,12,Grant County,2019
Home Birth (Planned),2,2,0,0,Grant County,2019
Total Births,50,38,0,12,Harney County,2019
Harney District Hospital,50,38,0,12,Harney County,2019
Total Births,412,327,2,83,Hood River County,2019
Providence Hood River Memorial Hospital,403,318,2,83,Hood River County,2019
Home Birth (Planned),9,9,0,0,Hood River County,2019
Total Births,2326,1535,33,758,Jackson County,2019
Asante Ashland Community Hospital,220,166,6,48,Jackson County,2019
Providence Medford Medical Center,502,342,2,158,Jackson County,2019
Asante Rogue Regional Medical Center,1542,968,22,552,Jackson County,2019
Home Birth (Planned),56,53,3,0,Jackson County,2019
Home Birth (Unplanned),3,3,0,0,Jackson County,2019
Other,3,3,0,0,Jackson County,2019
Total Births,171,146,0,25,Jefferson County,2019
St Charles - Madras,167,142,0,25,Jefferson County,2019
Home Birth (Planned),4,4,0,0,Jefferson County,2019
Total Births,793,607,1,185,Josephine County,2019
Asante Three Rivers Medical Center,733,548,0,185,Josephine County,2019
"Rogue Birth Center, LLC",38,38,0,0,Josephine County,2019
Home Birth (Planned),21,20,1,0,Josephine County,2019
Home Birth (Unplanned),1,1,0,0,Josephine County,2019
Total Births,828,649,9,170,Klamath County,2019
Sky Lakes Medical Center,802,624,8,170,Klamath County,2019
Klamath Birth Center,15,14,1,0,Klamath County,2019
Home Birth (Planned),9,9,0,0,Klamath County,2019
Home Birth (Unplanned),1,1,0,0,Klamath County,2019
Home Birth (Unknown if Planned),1,1,0,0,Klamath County,2019
Total Births,68,48,0,20,Lake County,2019
Lake District Hospital,67,47,0,20,Lake County,2019
Home Birth (Planned),1,1,0,0,Lake County,2019
Total Births,3553,2268,82,1203,Lane County,2019
McKenzie-Willamette Medical Center,880,534,20,326,Lane County,2019
Peace Harbor Medical Center,64,48,1,15,Lane County,2019
Sacred Heart Medical Center - RiverBend,2489,1572,55,862,Lane County,2019
PeaceHealth Medical Group Nurse Midwifery Birth Center,38,38,0,0,Lane County,2019
Home Birth (Planned),72,67,5,0,Lane County,2019
Home Birth (Unplanned),6,5,1,0,Lane County,2019
Home Birth (Unknown if Planned),1,1,0,0,Lane County,2019
Other,3,3,0,0,Lane County,2019
Total Births,318,249,1,68,Lincoln County,2019
Samaritan North Lincoln Hospital,111,77,0,34,Lincoln County,2019
Samaritan Pacific Communities Hospital,199,165,0,34,Lincoln County,2019
Home Birth (Planned),7,6,1,0,Lincoln County,2019
Other,1,1,0,0,Lincoln County,2019
Total Births,829,599,9,221,Linn County,2019
Samaritan Albany General Hospital,499,344,0,155,Linn County,2019
Samaritan Lebanon Community Hospital,259,192,1,66,Linn County,2019
"Growing Family Birth Center, LLC",19,17,2,0,Linn County,2019
Home Birth (Planned),49,44,5,0,Linn County,2019
Home Birth (Unplanned),3,2,1,0,Linn County,2019
Total Births,422,310,3,109,Malheur County,2019
"St Alphonsus Medical Center - Ontario, Inc",421,309,3,109,Malheur County,2019
Home Birth (Planned),1,1,0,0,Malheur County,2019
Total Births,4834,3395,104,1335,Marion County,2019
Salem Hospital,3327,2237,63,1027,Marion County,2019
Santiam Memorial Hospital,135,101,0,34,Marion County,2019
Legacy Silverton Medical Center,1265,953,38,274,Marion County,2019
Aurora Birth Center,32,31,1,0,Marion County,2019
Believing in Birth Birth Center,5,5,0,0,Marion County,2019
Home Birth (Planned),62,62,0,0,Marion County,2019
Home Birth (Unplanned),7,5,2,0,Marion County,2019
Other,1,1,0,0,Marion County,2019
Total Births,1,1,0,0,Morrow County,2019
Home Birth (Planned),1,1,0,0,Morrow County,2019
Total Births,9791,6603,344,2844,Multnomah County,2019
Adventist Medical Center,743,539,8,196,Multnomah County,2019
Legacy Emanuel Medical Center,1798,1063,82,653,Multnomah County,2019
Legacy Good Samaritan Medical Center,1062,739,7,316,Multnomah County,2019
Legacy Mount Hood Medical Center,920,659,27,234,Multnomah County,2019
OHSU Hospitals and Clinics,2278,1432,130,716,Multnomah County,2019
Providence Portland Medical Center,2605,1798,78,729,Multnomah County,2019
"Alma Midwifery Services, LLC",33,32,1,0,Multnomah County,2019
Andaluz Birth Center - Portland,96,92,4,0,Multnomah County,2019
Midwifery Birth Center,79,79,0,0,Multnomah County,2019
Home Birth (Planned),155,152,3,0,Multnomah County,2019
Home Birth (Unplanned),14,12,2,0,Multnomah County,2019
Home Birth (Unknown if Planned),1,1,0,0,Multnomah County,2019
Other,7,5,2,0,Multnomah County,2019
Total Births,17,17,0,0,Polk County,2019
Home Birth (Planned),15,15,0,0,Polk County,2019
Home Birth (Unplanned),1,1,0,0,Polk County,2019
Other,1,1,0,0,Polk County,2019
Total Births,1,1,0,0,Sherman County,2019
Home Birth (Planned),1,1,0,0,Sherman County,2019
Total Births,195,136,1,58,Tillamook County,2019
Tillamook Regional Medical Center,188,129,1,58,Tillamook County,2019
Home Birth (Planned),7,7,0,0,Tillamook County,2019
Total Births,757,546,0,211,Umatilla County,2019
Good Shepherd Medical Center,420,300,0,120,Umatilla County,2019
St Anthony Hospital,332,241,0,91,Umatilla County,2019
Home Birth (Planned),1,1,0,0,Umatilla County,2019
Home Birth (Unplanned),1,1,0,0,Umatilla County,2019
Home Birth (Unknown if Planned),2,2,0,0,Umatilla County,2019
Other,1,1,0,0,Umatilla County,2019
Total Births,236,148,5,83,Union County,2019
Grande Ronde Hospital,221,134,4,83,Union County,2019
Home Birth (Planned),14,13,1,0,Union County,2019
Home Birth (Unplanned),1,1,0,0,Union County,2019
Total Births,59,37,2,20,Wallowa County,2019
Wallowa Memorial Hospital,53,33,0,20,Wallowa County,2019
Home Birth (Planned),6,4,2,0,Wallowa County,2019
Total Births,258,206,0,52,Wasco County,2019
Mid-Columbia Medical Center,253,201,0,52,Wasco County,2019
Home Birth (Planned),5,5,0,0,Wasco County,2019
Total Births,5796,3987,178,1631,Washington County,2019
Providence St Vincent Medical Center,3548,2296,119,1133,Washington County,2019
Tuality Community Hospital,581,443,14,124,Washington County,2019
Kaiser Foundation Hospital - Westside,1553,1138,41,374,Washington County,2019
Canyon Medical Center,41,41,0,0,Washington County,2019
Home Birth (Planned),58,55,3,0,Washington County,2019
Home Birth (Unplanned),11,10,1,0,Washington County,2019
Other,4,4,0,0,Washington County,2019
Total Births,1,0,1,0,Wheeler County,2019
Home Birth (Planned),1,0,1,0,Wheeler County,2019
Total Births,974,731,21,222,Yamhill County,2019
Providence Newberg Medical Center,468,363,10,95,Yamhill County,2019
Willamette Valley Medical Center,419,285,7,127,Yamhill County,2019
Bella Vie Gentle Birth Center,45,43,2,0,Yamhill County,2019
Andaluz - Dundee,22,22,0,0,Yamhill County,2019
Home Birth (Planned),20,18,2,0,Yamhill County,2019
Total Births,40371,27821,931,11619,State Total,2020
Total Births,105,87,0,18,Baker County,2020
"St Alphonsus Medical Center - Baker City, Inc",100,82,0,18,Baker County,2020
Home Birth (Planned),5,5,0,0,Baker County,2020
Total Births,991,730,40,221,Benton County,2020
Good Samaritan Regional Medical Center,876,616,39,221,Benton County,2020
Corvallis Birth and Women's Health Center LLC,100,99,1,0,Benton County,2020
Home Birth (Planned),14,14,0,0,Benton County,2020
Home Birth (Unplanned),1,1,0,0,Benton County,2020
Total Births,4103,2853,107,1143,Clackamas County,2020
Kaiser Sunnyside Medical Center,2244,1558,55,631,Clackamas County,2020
Legacy Meridian Park Medical Center,950,638,16,296,Clackamas County,2020
Providence Milwaukie Hospital,1,1,0,0,Clackamas County,2020
Providence Willamette Falls Medical Center,819,571,32,216,Clackamas County,2020
Home Birth (Planned),84,80,4,0,Clackamas County,2020
Home Birth (Unplanned),3,3,0,0,Clackamas County,2020
Other,2,2,0,0,Clackamas County,2020
